,universityName,univ_lat_lng
0,Glasgow Caledonian University,"('55.86746635', '-4.250245389417843')"
1,University of Leeds,"('53.80677435', '-1.5562877504739676')"
2,King’s College London,"('51.5060001', '-0.1121582948025203')"
3,University of Reading,"('51.4404358', '-0.9417618328736392')"
6,Solvay Brussels School,"('50.83916395', '4.3784968682636105')"
9,University of Helsinki,"('60.175648300000006', '24.953550020522073')"
13,University of Bradford,"('53.7912775', '-1.7666110188908903')"
14,University of Bath,"('51.37658725', '-2.323432593859133')"
15,University of Glasgow,"('55.872315349999994', '-4.289219112981823')"
16,University of Groningen,"('53.21944155', '6.562986329174857')"
20,University of Strathclyde,"('55.8618812', '-4.241956565778082')"
22,University of Oulu,"('65.05932770000001', '25.467357691873588')"
28,Fresenius University of Applied Sciences,"(None, None)"
34,Imperial College London,"('51.4989595', '-0.17564069276310426')"
36,University Centre of the West Fjords,"(None, None)"
39,"St Mary’s University, Twickenham","('51.4371611', '-0.3361972')"
40,Northumbria University,"('54.977755349999995', '-1.607282403525396')"
42,University of Roehampton,"('51.4485315', '-0.24401071122664614')"
44,London Metropolitan University,"('51.51771165', '-0.08816256361773317')"
52,University of Sussex,"('50.86796665', '-0.08778899363132905')"
53,University of Greenwich,"('51.4825423', '-0.0066531')"
64,Harvard University,"('42.36790855', '-71.12678237443698')"
74,University of Evora,"('38.573722950000004', '-7.904564543265204')"
76,University for the Creative Arts,"('51.2162625', '-0.806056713153231')"
77,The New School,"('40.73547915', '-73.9970708835668')"
80,Trinity College Dublin,"('53.34366745', '-6.254444724511822')"
84,University of Edinburgh,"('55.94407645', '-3.1883735563964555')"
109,Ulster University,"('55.00584965', '-7.323088131481537')"
115,University College London,"('51.52420305', '-0.13300072425929543')"
117,University of Bordeaux,"('44.83697265', '-0.578070403772544')"
128,Liverpool John Moores University,"('53.4086917', '-2.969502219901786')"
129,Erasmus School of Economics,"(None, None)"
136,EIT Food,"('47.4743021', '19.061339')"
137,Kuehne Logistics University - KLU,"(None, None)"
138,ESMT Berlin,"('52.5152614', '13.401908655703892')"
140,University Canada West,"('49.27491055', '-123.13011626000483')"
141,Brunel University Online,"(None, None)"
143,The Hong Kong University of Science and Technology,"('22.3358031', '114.2659087549023')"
145,Johns Hopkins University,"('39.33020225', '-76.62185357858337')"
148,University of Boras,"('40.32854330000001', '-3.5575852379839974')"
152,Hult International Business School,"('51.5152219', '-0.0676810282654535')"
183,University of Central Lancashire,"('53.7637059', '-2.708910381956861')"
189,University of San Francisco,"('37.7793627', '-122.45144734976836')"
190,Durham University,"('36.00015569999999', '-78.94422972195878')"
196,University of Sheffield,"('53.3829963', '-1.4775717')"
200,University College Dublin,"('53.3068763', '-6.224625093340977')"
202,University of Liverpool,"('53.40724285', '-2.965833661018871')"
203,University of Essex Online,"(None, None)"
204,The London Institute of Banking and Finance,"(None, None)"
205,University of Hull,"('53.7710908', '-0.3683905962694075')"
214,Northumbria University London,"('51.5177926', '-0.0778041')"
228,University of Portsmouth,"('50.795245', '-1.0935528683212405')"
244,MLA College,"('52.370578', '4.8965964')"
263,University of Oxford,"('33.6502899', '-117.8281794')"
264,Radboud University,"('51.82151725', '5.863403442541042')"
275,Emlyon Business School,"(None, None)"
278,Berlin School of Business and Innovation,"(None, None)"
283,The American University of Paris,"('48.86157955', '2.310659336706136')"
310,University of Nottingham Ningbo China,"('29.802278', '121.55935633845053')"
312,University of Applied Sciences Europe,"('52.5060988', '13.3787343')"
320,University of Dundee,"('56.45796755', '-2.9821483135375493')"
321,Al-Maktoum College of Higher Education,"(None, None)"
325,University of Derby Online Learning,"(None, None)"
